ticker,period,operating_margin,price,var_price
CNP,2014-12-31,10,23.43,0.010785159620362306
CNP,2015-12-31,13,18.360001,-0.2163892018779342
COF,2012-12-31,0,57.93,NA
COF,2013-12-31,0,76.610001,0.3224581563956499
COF,2014-12-31,0,82.550003,0.07753559486313022
COF,2015-12-31,0,72.18,-0.12562086763340274
COG,2012-12-31,25,24.870001,NA
COG,2013-12-31,32,38.759998,0.5585040788699609
COG,2014-12-31,5,29.610001,-0.23606804623674138
COG,2015-12-31,7,17.690001,-0.40256668684340813
COL,2013-09-30,20,67.860001,NA
COL,2014-09-30,18,78.5,0.15679338112594499
COL,2015-09-30,19,81.839996,0.04254771974522287
COL,2016-09-30,19,84.339996,0.030547411072698427
COO,2013-10-31,19,129.210007,NA
COO,2014-10-31,18,163.899994,0.2684775568505309
COO,2015-10-31,13,NA,NA
COO,2016-10-31,16,176.039993,NA
COST,2013-09-01,3,NA,NA
COST,2014-08-31,3,NA,NA
COST,2015-08-30,3,NA,NA
COST,2016-08-28,3,NA,NA
COTY,2003-06-30,73,NA,NA
COTY,2004-06-30,241,NA,NA
COTY,2006-02-28,58,NA,NA
COTY,2007-02-28,11,NA,NA
CPB,2013-07-28,13,NA,NA
CPB,2014-08-03,15,NA,NA
CPB,2015-08-02,13,NA,NA
CPB,2016-07-31,12,NA,NA
CRM,2013-01-31,4,43.03250125,NA
CRM,2014-01-31,7,60.529999,0.4066112180732231
CRM,2015-01-31,3,NA,NA
CRM,2016-01-31,2,NA,NA
CSCO,2013-07-27,23,NA,NA
CSCO,2014-07-26,20,NA,NA
CSCO,2015-07-25,22,NA,NA
CSCO,2016-07-30,26,NA,NA
CSRA,2015-04-03,11,NA,NA
CSRA,2016-04-01,4,27.27,NA
CSX,2013-12-31,29,28.77,NA
CSX,2014-12-26,29,36.68,0.2749391727493917
CSX,2015-12-25,30,NA,NA
CSX,2016-12-30,31,35.93,NA
CTAS,2013-05-31,13,45.650002,NA
CTAS,2014-05-31,14,NA,NA
